"ID","y_passXtremeDurability"
160001,0.5
160002,0.5
160003,0.5
160004,0.5
160005,0.5
160006,0.5
160007,0.5
160008,0.5
160009,0.5
160010,0.5
160011,0.5
160012,0.5
160013,0.5
160014,0.5
160015,0.5
160016,0.5
160017,0.5
160018,0.5
160019,0.5
160020,0.5
160021,0.5
160022,0.5
160023,0.5
160024,0.5
160025,0.5
160026,0.5
160027,0.5
160028,0.5
160029,0.5
160030,0.5
160031,0.5
160032,0.5
160033,0.5
160034,0.5
160035,0.5
160036,0.5
160037,0.5
160038,0.5
160039,0.5
160040,0.5
160041,0.5
160042,0.5
160043,0.5
160044,0.5
160045,0.5
160046,0.5
160047,0.5
160048,0.5
160049,0.5
160050,0.5
160051,0.5
160052,0.5
160053,0.5
160054,0.5
160055,0.5
160056,0.5
160057,0.5
160058,0.5
160059,0.5
160060,0.5
160061,0.5
160062,0.5
160063,0.5
160064,0.5
160065,0.5
160066,0.5
160067,0.5
160068,0.5
160069,0.5
160070,0.5
160071,0.5
160072,0.5
160073,0.5
160074,0.5
160075,0.5
160076,0.5
160077,0.5
160078,0.5
160079,0.5
160080,0.5
160081,0.5
160082,0.5
160083,0.5
160084,0.5
160085,0.5
160086,0.5
160087,0.5
160088,0.5
160089,0.5
160090,0.5
160091,0.5
160092,0.5
160093,0.5
160094,0.5
160095,0.5
160096,0.5
160097,0.5
160098,0.5
160099,0.5
160100,0.5
160101,0.5
160102,0.5
160103,0.5
160104,0.5
160105,0.5
160106,0.5
160107,0.5
160108,0.5
160109,0.5
160110,0.5
160111,0.5
160112,0.5
160113,0.5
160114,0.5
160115,0.5
160116,0.5
160117,0.5
160118,0.5
160119,0.5
160120,0.5
160121,0.5
160122,0.5
160123,0.5
160124,0.5
160125,0.5
160126,0.5
160127,0.5
160128,0.5
160129,0.5
160130,0.5
160131,0.5
160132,0.5
160133,0.5
160134,0.5
160135,0.5
160136,0.5
160137,0.5
160138,0.5
160139,0.5
160140,0.5
160141,0.5
160142,0.5
160143,0.5
160144,0.5
160145,0.5
160146,0.5
160147,0.5
160148,0.5
160149,0.5
160150,0.5
160151,0.5
160152,0.5
160153,0.5
160154,0.5
160155,0.5
160156,0.5
160157,0.5
160158,0.5
160159,0.5
160160,0.5
160161,0.5
160162,0.5
160163,0.5
160164,0.5
160165,0.5
160166,0.5
160167,0.5
160168,0.5
160169,0.5
160170,0.5
160171,0.5
160172,0.5
160173,0.5
160174,0.5
