ID,y_passXtremeDurability
160001,0.003506796
160002,0.04968009
160003,0.9342287
160004,0.7216504
160005,0.8099518
160006,0.15598628
160007,0.0325323
160008,0.5407754
160009,0.8056408
160010,0.8246468
160011,0.30768496
160012,0.0072101913
160013,0.6320323
160014,0.23223707
160015,0.22065453
160016,0.95387805
160017,0.77540374
160018,0.3777722
160019,0.08129169
160020,0.22924586
160021,0.1967655
160022,0.02890401
160023,0.77400225
160024,0.67020994
160025,0.4360772
160026,0.2205455
160027,0.57445014
160028,0.53920907
160029,0.48632497
160030,0.3928067
160031,0.6643441
160032,0.008462384
160033,0.8798259
160034,0.79109734
160035,0.881231
160036,0.25109732
160037,0.2447801
160038,0.6303968
160039,0.24441078
160040,0.013867663
160041,0.5890224
160042,0.35335702
160043,0.7823383
160044,0.82306516
160045,0.92849123
160046,0.9002393
160047,0.5956303
160048,0.94589186
160049,0.77664506
160050,0.74072295
160051,0.9037045
160052,0.7109426
160053,0.23271933
160054,0.89166576
160055,0.8758608
160056,0.4327585
160057,0.58558637
160058,0.03948694
160059,0.7021146
160060,0.33675927
160061,0.91735685
160062,0.26446143
160063,0.49208078
160064,0.5545908
160065,0.6591302
160066,0.0041328506
160067,0.27145222
160068,0.7779592
160069,0.9781538
160070,0.598708
160071,0.7451302
160072,0.20292667
160073,0.024411619
160074,0.47191542
160075,0.3974716
160076,0.81387156
160077,0.39519426
160078,0.7044409
160079,0.78277063
160080,0.018510617
160081,0.057469048
160082,0.21489649
160083,0.7065132
160084,0.008996883
160085,0.8206641
160086,0.7972274
160087,0.22434649
160088,0.6227397
160089,0.10447272
160090,0.49836573
160091,0.67614573
160092,0.96654856
160093,0.46791667
160094,0.32340217
160095,0.3111061
160096,0.87407416
160097,0.9672163
160098,0.7747284
160099,0.6373347
160100,0.6552218
160101,0.32091874
160102,0.7395452
160103,0.04369121
160104,0.9210245
160105,0.061726175
160106,0.32609943
160107,0.018583795
160108,0.0048611877
160109,0.7601911
160110,0.6359989
160111,0.27416313
160112,0.95807564
160113,0.89675456
160114,0.2287604
160115,0.03566187
160116,0.2020673
160117,0.9578363
160118,0.0017796035
160119,0.0061672805
160120,0.9176439
160121,0.11976687
160122,0.03137598
160123,0.25854278
160124,0.23370501
160125,0.6448315
160126,0.49528465
160127,0.436311
160128,0.0031504077
160129,0.966159
160130,0.95658416
160131,0.48188376
160132,0.9207326
160133,0.7984047
160134,0.932837
160135,0.20123902
160136,0.0016909961
160137,0.7748839
160138,0.16708897
160139,0.80404246
160140,0.059848934
160141,0.088178836
160142,0.019658133
160143,0.0020360765
160144,0.12635681
160145,0.786873
160146,0.3996269
160147,0.56411207
160148,0.72373384
160149,0.9304835
160150,0.0033873008
160151,0.74683875
160152,0.30263734
160153,0.009753962
160154,0.039425295
160155,0.4733708
160156,0.0040291497
160157,0.45970517
160158,0.96942794
160159,0.9387965
160160,0.3134486
160161,0.782755
160162,0.45081156
160163,0.45708314
160164,0.9908942
160165,0.3102049
160166,0.98402977
160167,0.7492632
160168,0.23159814
160169,0.39276266
160170,0.51096034
160171,0.33934438
160172,0.7104613
160173,0.2010076
160174,0.0039809896
160175,0.119081356
160176,0.0075545
160177,0.7253716
160178,0.9524301
160179,0.2054365
160180,0.06086427
160181,0.11168746
160182,0.019765045
160183,0.8359874
160184,0.5997773
160185,0.29862264
160186,0.9967741
160187,0.12800887
160188,0.3486591
160189,0.31687814
160190,0.47915825
160191,0.87389565
160192,0.18686035
160193,0.9060401
160194,0.006114328
160195,0.061747897
160196,0.85006773
160197,0.1303746
160198,0.42621905
160199,0.74339825
160200,0.88118047
160201,0.11678449
160202,0.026361728
160203,0.30843586
160204,0.94110173
160205,0.12592672
160206,0.84484166
160207,0.82880557
160208,0.32239303
160209,0.0021859994
160210,0.021767607
160211,0.9753628
160212,0.8596527
160213,0.032868125
160214,0.5667344
160215,0.10872731
160216,0.58034146
160217,0.8251139
160218,0.84097874
160219,0.10969444
160220,0.6590253
160221,0.7653544
160222,0.2473791
160223,0.05224415
160224,0.56180334
160225,0.60899013
160226,0.7876886
160227,0.7741688
160228,0.16813406
160229,0.033983536
160230,0.17139061
160231,0.26937494
160232,0.60594714
160233,0.90071946
160234,0.58750653
160235,0.89129007
160236,0.26386252
160237,0.40458608
160238,0.09156807
160239,0.029763684
160240,0.62499464
160241,0.43451077
160242,0.13870788
160243,0.5722395
160244,0.8828267
160245,0.61146814
160246,0.7418128
160247,0.2247363
160248,0.5764978
160249,0.6501583
160250,0.9450558
160251,0.18305914
160252,0.65050083
160253,0.6218704
160254,0.48958302
160255,0.4463114
160256,0.7595907
160257,0.9730948
160258,0.30454975
160259,0.86576957
160260,0.6775852
160261,0.20229891
160262,0.26697764
160263,0.31533045
160264,0.060803525
160265,0.10425506
160266,0.23821259
160267,0.4742493
160268,0.09442676
160269,0.3831566
160270,0.63963836
160271,0.67189497
160272,0.59304655
160273,0.564839
160274,0.0455708
160275,0.794452
160276,0.7950552
160277,0.47494897
160278,0.10420452
160279,0.27399766
160280,0.08046248
160281,0.4430038
160282,0.025982037
160283,0.45001525
160284,0.17304543
160285,0.76287097
160286,0.0048316745
160287,0.17823246
160288,0.027230356
160289,0.03642411
160290,0.8506616
160291,0.80193365
160292,0.92833567
160293,0.97349644
160294,0.8265503
160295,0.6298808
160296,0.9042476
160297,0.07527379
160298,0.39086896
160299,0.11953982
160300,0.013136799
160301,0.04846113
160302,0.048274342
160303,0.021011485
160304,0.48229823
160305,0.9685275
160306,0.8586587
160307,0.23080835
160308,0.8205309
160309,0.65245813
160310,0.88548726
160311,0.8972348
160312,0.6746138
160313,0.0048069498
160314,0.5962923
160315,0.10200584
160316,0.090436265
160317,0.6828711
160318,0.7367471
160319,0.5979763
160320,0.26670635
160321,0.16349094
160322,0.50121206
160323,0.70740783
160324,0.61636204
160325,0.35011953
160326,0.9552652
160327,0.66496754
160328,0.653968
160329,0.19960135
160330,0.7701806
160331,0.72455543
160332,0.0027884576
160333,0.107079744
160334,0.31989837
